FullName,Winery,ScoreAIS,Grapes,Tasting Notes,Pairing,Price,Bottles,Alcohol,Aging
Anna Maria Abbona,Dogliani Superiore Maioli 2019,92,Dolcetto 100%,"Rubino profondo, balenanti sussulti purpurei Naso denso, polposo: mora e mirtillo, lampone e sciroppo d'amarena Iris e glicine, granatina e cola: complessità a cui il tempo renderà merito Sorso ampio ma teso, austero il tannino e gustosa la sapidità Golose persistenze con frutta a bacca rossa Superbo",Ravioli del plin ai tre arrosti,16,8,"14,5",Acciaio 20 mesi
Anna Maria Abbona,Barolo Bricco San Pietro 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,55,6,"14,5",Legno 30 mesi
Anna Maria Abbona,Langhe Nascetta Netta 2020,,Nascetta 100%,,Piatti di verdure,14,7,"13,5",Acciaio 8 mesi
Anna Maria Abbona,Langhe Nebbiolo 2018,,Nebbiolo 100%,,Risotti di terra,18,10,14,Legno 12 mesi
Orlando Abrigo,Barbaresco Meruzzano 2018,,Nebbiolo 100%,"Granato fitto Giovane, ma ha già la capacità di sedurre, con nitidi profumi varietali di lampone, mora e viola che si rarefanno in sensazioni d'arancia rossa, spezia scura, nuance fumé Vigoroso e succoso al palato, ha dalla sua una stimolante sapidità finale che amplifica la scia gustativa",Filetto in crosta,26,2,"14,5",Legno 12 mesi
Orlando Abrigo,Barbaresco Montersino 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,49,8,"14,5",Legno 15 mesi
Orlando Abrigo,Barbaresco Rongalio Riserva 2016,,Nebbiolo 100%,,Carni rosse o selvaggina,58,8,"14,5",Legno 20 mesi
Marco E Vittorio Adriano,Barbaresco Basarin Riserva 2016,,Nebbiolo 100%,"Granato L’olfazione colpisce per leggiadra profondità: violetta, melograno, tratti balsamici e vegetali che aprono il respiro Non manca un filo di nobile austerità speziata, che s'accentua in bocca, dove i tannini fanno gran parte del lavoro tattile e gustativo Sorso caldo ma di buona freschezza",Pernice al cumino,41,5,15,Acciaio 12 mesi e Legno 24 mesi
Marco E Vittorio Adriano,Dudes Brut Rosato,,Freisa 100%,,Piatti di verdure,13,5,12,
Fratelli Alessandria,Barolo Monvigliero 2017,94,Nebbiolo 100%,"Eccelle in tutto: profumi, sapore, equilibrio, sostanza L'avvio è delicato ed esprime i toni classici del nebbiolo, fiori passiti, rosa, viola, spezie fini e rugginose Poi si scioglie il frutto, dolce e rosso, di ciliegia e fragolina, di erbe, menta e confetture Al gusto tannini sfumati e succoso finale",Lepre in casseruola,60,6,15,Legno 32 mesi
Fratelli Alessandria,Barolo Gramolere 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,50,6,"14,5",Legno 32 mesi
Fratelli Alessandria,Barolo San Lorenzo Di Verduno 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,45,4,15,Legno 32 mesi
Fratelli Alessandria,Verduno Pelaverga Speziale 2020,,Pelaverga piccolo 100%,,Risotti di terra,14,21,13,
Fratelli Alessandria,Barolo Del Comune Di Verduno 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,36,20,15,
Fratelli Alessandria,Langhe Nebbiolo Prinsiot 2019,,Nebbiolo 100%,,Primi piatti di pasta o pasta fresca ripiena,16,10,14,
Giovanni Almondo,Roero Arneis Bricco Delle Ciliegie 2020,93,Arneis 100%,"Giallo paglierino brillante Tipicissimo nel proporre acacia, biancospino, mela, erbe aromatiche, gesso e pietra L'assaggio lo rivela ricco, persistente e appagante La sapidità è tutta territoriale e l'equilibrio da manuale Ottimo da subito, eccezionale se lo si aspetterà almeno un paio d'anni",Coda di rospo allo zafferano,18,50,"13,5",Acciaio 8 mesi
Giovanni Almondo,Roero Arneis Le Rive Del Bricco 2019,,Arneis 100%,,Piatti di pesce,22,5,13,Acciaio 10 mesi
Giovanni Almondo,Roero 2019,,Nebbiolo 100%,,Carni bianche o da cortile,20,6,14,Legno 18 mesi
Antoniolo,Gattinara Le Castelle 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,40,3,14,Legno 24 mesi
Anzivino,Gattinara 2017,92,Nebbiolo 100%,"Granato di profonda luminosità Il profilo olfattivo rivela grande intensità e complessità, dimostrandosi avvincente per espressività che si articola su un ventaglio di erbe aromatiche e balsamiche, timo, assenzio, alloro cui si susseguono profumi di viola, rosa e frutti di sottobosco All'assaggio si propone fresco e dinamico, senza rinunciare ad un proporzionato volume e al nobile tannino Ottima la chiusura e lunga persistenza",Cinghiale al civet e polenta,20,9,"13,5",Acciaio 2 mesi e Legno 26 mesi
Anzivino,Gattinara Cesare Riserva 2016,,Nebbiolo 100%,,Carni rosse o selvaggina,70,959,"14,5",Acciaio 6 mesi e Legno 36 mesi
Anzivino,Coste Della Sesia Nebbiolo 2017,,Nebbiolo 100%,,"Zuppe, minestre o vellutate",15,5,"13,5",Acciaio 12 mesi e Legno 24 mesi
Arnaldo Rivera,Barolo Rocche Di Castiglione 2017,,Nebbiolo 100%,"Granato fitto e vivace Naso avvolgente e variegato nei toni, inizialmente intensi di frutti di bosco tra cui fragolina, lampone e ribes, per poi proseguire su toni più balsamici di menta ed eucalipto e agrumati di chinotto Il sorso è di carattere, caldo e morbido, con tannino incisivo e finale fresco",Costata di manzo alla brace,65,2,"14,5",Legno 32 mesi
Arnaldo Rivera,Barolo Castello 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,45,5,"14,5",Legno 32 mesi
Arnaldo Rivera,Barolo Ravera 2017,,Nebbiolo 100%,,Risotti di terra,45,5,"14,5",Legno 32 mesi
Arnaldo Rivera,Barolo Monvigliero 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,45,5,"14,5",Legno 32 mesi
L'Astemia Pentita,Barolo Terlo 2017,91,Nebbiolo 100%,"Granato luminoso Esordisce con intensi profumi balsamici che lasciano il passo a note di confettura di visciole, violetta, liquirizia, spezie officinali, aghi di pino e radice Il sorso è coinvolgente Il tannino lascia spazio all'acidità che agevola la beva di questo vino robusto, di grande personalità",T-Bone di Scottona con patate al forno,70,1,"14,5",Legno 36 mesi
L'Astemia Pentita,Barolo Cannubi 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,70,2,"14,5",Legno 36 mesi
L'Astemia Pentita,Barolo 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,32,6,"14,5",Legno 36 mesi
Azelia,Barolo Cerretta 2017,96,Nebbiolo 100%,"Un Cerretta superbo Naso ricco e ampio, austero nelle note di fiori passiti e confetture, appena speziato e dolcemente fruttato Le note sono di rosa e violetta, pepe e bacche, ciliegia, fragola e confetture Morbida e armoniosa, è una bocca importante e saporita, con tannini sfumati e impeccabile sviluppo",Diaframma di Angus,105,3,"14,5",Legno 36 mesi
Azelia,Barolo San Rocco 2017,93,Nebbiolo 100%,"Granato tipico, è un San Rocco molto intenso, con naso dolce di frutta e spezie, fiori passiti e menta A note di viola e fragola macerata fanno eco sentori di ciliegia e lampone, frutta zuccherata, lavanda e arancia sanguinella La bocca non manca e risponde con energia e pienezza, con tannini fini e sfumati",Costata di manzo,90,6,"14,5",Legno 24 mesi
Azelia,Barolo Margheria 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,90,6,"14,5",Legno 36 mesi
Azelia,Barolo Bricco Fiasco 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,90,5,"14,5",Legno 24 mesi
Azelia,Barolo 2017,,Nebbiolo 100%,,Risotti di terra,35,24,"14,5",Legno 30 mesi
